"RECNUM","AdoptMomAge","AdoptDadAge","ADPFAMST","MomRace","DadRace","Transracial"
"260223000000",49,44,1,2,2,0
"260223000000",49,44,1,2,2,9
"260225000000",44,56,1,7,7,0
"260225000000",48,NA,3,2,99,0
"260231000000",54,62,1,2,2,2
"260234000000",54,NA,3,2,99,0
"260234000000",56,NA,3,2,99,0
"260236000000",57,NA,3,2,99,3
"260238000000",55,NA,4,2,99,9
"260239000000",45,NA,3,2,99,0
"260240000000",50,NA,3,2,99,0
"260244000000",37,37,1,1,1,0
"260247000000",49,NA,3,7,99,3
"260247000000",49,NA,3,7,99,3
"260249000000",55,NA,3,2,99,0
"260249000000",50,50,1,7,7,2
"260251000000",53,57,1,2,2,0
"260256000000",39,NA,3,2,99,0
"260256000000",39,NA,3,2,99,0
"260258000000",62,64,1,7,7,2
"260258000000",62,64,1,7,7,2
"260258000000",49,NA,3,99,99,9
"260264000000",52,NA,3,7,99,0
"260264000000",71,NA,3,7,99,3
"260264000000",71,NA,3,7,99,3
"260272000000",57,NA,4,2,99,0
"260272000000",46,NA,3,1,99,9
"260272000000",46,NA,3,1,99,9
"260272000000",45,NA,3,2,99,0
"260272000000",45,NA,3,2,99,0
"260277000000",47,47,1,1,1,9
"260277000000",43,42,1,1,1,0
"260278000000",42,39,1,1,1,9
"260280000000",37,40,1,1,1,0
"260282000000",72,NA,3,2,99,0
"260285000000",46,42,1,1,1,0
"260285000000",46,42,1,1,1,0
"260286000000",50,NA,3,1,99,0
"260287000000",54,NA,3,2,99,0
"260293000000",42,45,1,7,7,0
"260294000000",38,39,2,99,99,9
"260296000000",50,50,1,1,1,1
"260296000000",45,58,1,2,2,0
"260297000000",43,52,1,7,7,3
"260301000000",58,60,1,7,7,2
"260302000000",40,39,1,1,1,1
"260303000000",58,60,1,7,7,3
"260304000000",42,58,1,3,3,0
"260314000000",43,49,1,1,1,0
"260317000000",39,49,1,7,7,3
"260317000000",39,49,1,7,7,3
"260322000000",34,NA,3,2,99,0
"260322000000",28,30,1,1,1,0
"260329000000",49,NA,3,2,99,0
"260333000000",56,NA,3,2,99,0
"260336000000",32,39,1,2,2,2
