"RecNumbr","F1Age","F2Age","FOSFAMST","F1Race","F2Race","Transracial"
"250386000000",NA,NA,NA,NA,NA,NA
"250388000000",37,37,NA,2,1,1
"250400000000",NA,NA,NA,NA,NA,NA
"250531000000",NA,NA,NA,NA,NA,NA
"250549000000",NA,NA,NA,NA,NA,NA
"250596000000",54,51,NA,1,1,0
"250616000000",NA,NA,NA,NA,NA,NA
"250647000000",54,50,NA,7,7,0
"250658000000",NA,NA,NA,NA,NA,NA
"250671000000",NA,NA,NA,NA,NA,NA
"250806000000",NA,NA,3,NA,NA,NA
"250807000000",51,NA,NA,7,NA,0
"250831000000",65,NA,3,2,NA,9
"250838000000",52,NA,3,2,NA,0
"250871000000",NA,NA,NA,NA,NA,NA
"250877000000",NA,NA,NA,NA,NA,NA
"250919000000",45,NA,3,2,NA,0
"250938000000",51,50,1,2,2,9
"250966000000",NA,NA,NA,NA,NA,NA
"250986000000",NA,NA,NA,NA,NA,9
"250996000000",NA,NA,NA,NA,NA,NA
"251163000000",58,NA,NA,2,NA,NA
"251193000000",44,49,1,1,1,0
"251203000000",NA,NA,NA,NA,NA,NA
"251204000000",NA,NA,2,NA,NA,NA
"251322000000",47,NA,NA,2,NA,0
"251327000000",61,63,NA,1,1,1
"251369000000",NA,NA,NA,NA,NA,NA
"251400000000",NA,NA,NA,NA,NA,NA
"251412000000",NA,NA,3,NA,NA,NA
"251452000000",NA,NA,NA,NA,NA,NA
"251497000000",44,NA,3,1,NA,0
"251529000000",55,NA,NA,7,NA,NA
"251531000000",56,55,1,7,7,2
"251574000000",NA,NA,3,NA,NA,NA
"251579000000",59,NA,3,7,NA,NA
"251582000000",NA,NA,NA,NA,NA,NA
"251649000000",NA,NA,2,NA,NA,NA
"251652000000",NA,NA,NA,NA,NA,NA
"251664000000",NA,NA,NA,NA,NA,NA
"251770000000",53,NA,2,2,NA,0
"251773000000",NA,NA,NA,NA,NA,NA
"251797000000",70,59,3,2,2,0
"251798000000",47,57,NA,7,2,0
"251835000000",40,NA,NA,1,NA,NA
"251841000000",57,NA,NA,7,NA,NA
"251849000000",58,NA,3,7,NA,NA
"251863000000",43,NA,NA,2,NA,9
"251871000000",60,NA,3,2,NA,0
"251877000000",NA,NA,NA,NA,NA,NA
"251883000000",NA,NA,NA,NA,NA,NA
"251888000000",50,NA,3,7,NA,0
"251951000000",49,53,1,2,2,0
"252138000000",50,60,NA,2,2,0
"252141000000",49,43,2,7,7,2
"252178000000",58,NA,3,7,NA,0
"252185000000",46,NA,NA,7,NA,NA
"252348000000",NA,NA,NA,NA,NA,NA
"252353000000",NA,NA,NA,NA,NA,NA
"252382000000",56,63,1,1,1,9
"252395000000",62,NA,3,1,NA,0
"252397000000",35,39,1,1,1,0
"252398000000",56,NA,3,1,NA,0
"252422000000",48,46,2,2,1,0
"252441000000",NA,NA,NA,NA,NA,NA
"252445000000",NA,NA,NA,NA,NA,NA
"252448000000",NA,NA,NA,NA,NA,NA
"252450000000",NA,NA,NA,NA,NA,NA
"252453000000",48,NA,NA,2,NA,NA
"252455000000",NA,NA,NA,NA,NA,NA
"252458000000",44,NA,1,1,NA,9
"252470000000",41,55,1,1,1,0
"252475000000",NA,NA,NA,NA,NA,NA
"252476000000",57,NA,3,1,NA,0
"252480000000",65,58,1,1,1,0
"252481000000",64,65,1,2,2,0
"252486000000",57,NA,1,1,NA,0
"252487000000",NA,NA,NA,NA,NA,NA
"252489000000",57,NA,3,2,NA,NA
"252490000000",NA,NA,NA,NA,NA,NA
"252491000000",47,NA,3,2,NA,0
"252494000000",NA,NA,3,NA,NA,NA
"252494000000",44,36,NA,1,1,0
"252494000000",35,37,NA,1,1,1
"252494000000",NA,NA,NA,NA,NA,NA
"252503000000",64,61,NA,1,1,9
"252503000000",NA,NA,NA,NA,NA,NA
"252513000000",55,52,NA,2,2,0
