"RecNumbr","SEX","CLINDIS","AgeAtEnd","RaceEthn","P1AgeAtBirth","CTKFAMST","TOTALREM","NUMPLEP","MANREM","RemRsnChil","IsTPR","ado","F1Age","F2Age","FOSFAMST","F1Race","F2Race","Transracial"
"260930000000",2,1,17,1,NA,NA,1,2,2,0,1,0,56,NA,3,7,NA,NA
"260975000000",1,1,17,99,20,2,1,2,2,0,1,0,31,NA,NA,2,NA,9
"261121000000",2,1,17,2,34,2,1,8,2,0,1,0,35,NA,NA,2,NA,0
"261306000000",2,1,16,2,32,2,1,2,2,0,1,1,32,NA,3,2,NA,0
"261312000000",2,1,16,2,32,2,1,1,2,0,1,0,45,NA,NA,2,NA,0
"261315000000",1,1,16,2,NA,NA,1,2,2,0,1,1,47,49,NA,2,2,0
"261372000000",2,1,16,99,15,3,1,4,2,0,1,0,NA,NA,NA,NA,NA,9
"261530000000",2,1,17,1,25,4,1,1,2,0,1,0,55,NA,3,7,NA,NA
"261551000000",1,2,17,99,18,2,1,1,2,0,1,0,62,55,1,2,1,9
"261687000000",1,2,16,2,39,3,1,5,2,0,0,0,39,NA,NA,2,NA,0
"261691000000",2,1,17,2,21,3,1,8,1,1,1,0,41,NA,NA,2,NA,0
"261716000000",1,1,17,2,41,3,1,3,1,1,0,0,NA,NA,NA,NA,NA,NA
"261858000000",2,1,17,2,21,3,1,3,2,0,0,0,49,NA,3,2,NA,0
"261953000000",2,1,17,99,17,1,1,1,2,0,1,0,30,35,2,7,7,9
"261996000000",1,1,17,2,NA,NA,1,1,2,0,1,0,60,NA,3,2,NA,0
"262215000000",1,1,16,2,NA,NA,1,10,2,0,1,0,35,40,3,7,1,1
"262221000000",2,2,17,7,8,4,1,2,1,0,0,0,38,NA,2,7,NA,0
"262244000000",1,2,17,2,16,2,1,1,2,0,1,0,36,NA,NA,2,NA,0
"262251000000",2,1,17,1,18,3,2,3,2,0,1,0,55,NA,NA,7,NA,NA
"262366000000",1,1,17,7,38,1,1,9,2,0,1,0,57,NA,NA,7,NA,0
"262487000000",1,1,17,1,NA,NA,1,5,2,0,1,1,56,NA,NA,1,NA,0
"262501000000",1,1,17,7,34,2,1,4,2,0,1,0,72,NA,NA,7,NA,0
"262523000000",1,1,17,2,34,4,2,3,1,1,1,0,44,NA,NA,2,NA,0
"262610000000",1,2,16,2,NA,NA,3,8,2,0,1,1,55,53,3,2,2,0
"262639000000",1,1,16,2,26,2,1,7,2,0,0,0,49,NA,3,2,NA,0
"262668000000",1,1,16,2,35,4,2,3,1,0,0,0,71,74,3,2,2,0
"262672000000",2,1,17,2,17,2,1,1,2,0,1,0,38,NA,NA,2,NA,0
"262677000000",1,1,17,2,30,2,1,2,2,0,0,0,NA,NA,NA,NA,NA,NA
"262682000000",2,1,17,2,42,3,1,7,2,1,1,0,NA,NA,NA,NA,NA,NA
"262696000000",2,1,17,99,NA,NA,1,1,2,0,1,0,54,NA,3,2,NA,9
"10239993150",1,2,16,1,38,4,1,2,2,0,0,0,46,50,NA,1,1,0
"12337770030",1,1,15,2,NA,5,1,2,1,0,1,1,55,NA,NA,2,NA,0
"242105000000",2,2,16,1,NA,NA,2,5,2,0,1,0,NA,NA,NA,NA,NA,NA
"242146000000",1,2,16,1,38,1,1,1,2,0,1,1,43,38,1,1,1,0
"242162000000",1,2,16,1,37,1,2,9,2,0,1,1,52,NA,4,1,NA,0
"242162000000",2,1,16,1,37,1,2,7,2,0,1,0,54,NA,NA,1,NA,0
"242162000000",1,1,16,1,NA,NA,1,7,2,0,1,0,NA,NA,NA,NA,NA,NA
"242165000000",2,2,16,7,51,3,3,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA
"242178000000",1,2,16,2,NA,NA,1,3,2,1,1,0,NA,NA,NA,NA,NA,NA
"242185000000",2,1,16,1,NA,NA,1,6,2,0,0,0,NA,NA,NA,NA,NA,NA
"242194000000",2,NA,16,1,24,3,3,2,NA,NA,1,0,64,66,NA,1,1,0
"242198000000",1,1,16,1,NA,NA,1,12,2,0,1,0,61,64,1,1,1,0
"250103000000",1,1,15,2,14,3,1,1,2,0,1,1,51,NA,3,2,NA,0
"250115000000",2,2,16,1,27,1,2,4,2,0,0,0,34,37,NA,1,1,0
"250118000000",2,1,16,2,17,3,2,5,2,0,1,0,34,31,NA,7,1,1
"250122000000",1,1,16,1,NA,NA,3,5,2,0,1,0,41,36,1,1,1,0
"250122000000",1,2,15,1,20,3,3,1,1,0,1,0,33,NA,NA,2,NA,NA
"250128000000",2,1,16,7,31,3,1,2,2,0,0,0,42,41,NA,7,7,0
"250133000000",2,1,16,7,21,3,2,2,2,1,0,0,NA,NA,NA,NA,NA,NA
"250139000000",2,1,16,2,18,3,1,14,2,0,0,0,NA,NA,NA,NA,NA,NA
"250139000000",1,1,16,2,18,3,1,10,2,0,0,0,45,NA,NA,2,NA,0
"250143000000",1,2,15,2,32,1,1,2,2,0,1,1,50,NA,NA,2,NA,0
"250151000000",2,2,15,1,33,1,1,3,2,0,1,1,46,NA,1,1,NA,0
"250179000000",1,1,15,7,31,3,3,8,2,0,1,0,NA,NA,NA,NA,NA,NA
"250201000000",2,1,15,1,21,3,1,2,2,0,0,0,40,NA,1,7,NA,NA
"250232000000",2,2,15,1,NA,NA,1,7,2,1,0,0,48,61,1,1,1,0
"250239000000",1,1,16,2,18,2,2,6,2,0,0,0,56,52,NA,2,2,0
"250270000000",2,1,15,2,26,1,1,18,2,0,1,0,NA,NA,NA,NA,NA,NA
"250273000000",2,1,16,2,NA,5,1,1,2,0,0,0,47,43,NA,2,2,0
"250279000000",2,1,16,2,56,3,2,10,1,1,1,0,NA,NA,NA,NA,NA,NA
"250284000000",1,1,16,99,27,2,1,10,2,0,0,0,56,NA,3,7,NA,9
"250289000000",2,1,15,7,29,3,3,5,2,0,1,0,54,57,2,1,1,1
"250328000000",1,1,16,2,NA,NA,1,13,2,0,1,0,NA,NA,NA,NA,NA,NA
"250348000000",1,1,16,1,21,2,1,2,2,0,1,0,52,56,1,7,7,2
"250357000000",2,1,16,7,23,4,1,10,2,0,1,0,NA,NA,NA,NA,NA,NA
"250364000000",2,1,15,2,55,4,1,2,2,1,1,0,53,NA,3,2,NA,0
"250369000000",2,1,16,2,12,3,1,12,2,0,1,0,40,NA,NA,2,NA,0
"250394000000",1,1,15,2,27,4,2,5,2,0,1,1,44,NA,NA,2,NA,0
